Order_ID,Order_Number,Product_Category,Origin_City,Destination_City,Region,Shipping_Mode,Distance_km,Shipment_Weight_tons,Emission_Factor_kgCO2_per_ton_km,Carbon_Emission_kgCO2,Delivery_Time_days,Late_Delivery_Flag,Sales_Amount_INR,Profit_INR,Sustainability_Score
35,ORD00035,Groceries,Bangalore,Chennai,South India,Rail,1072,2.5,0.02,53.6,9,1,68358.67,20090.37,89.73
36,ORD00036,Furniture,Kolkata,Bangalore,North India,Road - Medium Truck,151,8.87,0.1,133.94,7,0,22039.26,2703.2,99.33
37,ORD00037,Apparel,Kolkata,Chennai,South India,Air,1977,8.79,0.6,10426.7,8,1,26131.2,4050.96,37.87
38,ORD00038,Apparel,Pune,Hyderabad,North India,Road - Heavy Truck,1682,6.77,0.08,910.97,5,0,36184.89,5091.0,95.45
39,ORD00039,Electronics,Mumbai,Pune,East India,Road - Heavy Truck,1119,8.83,0.08,790.46,5,0,21963.94,2443.26,96.05
40,ORD00040,Apparel,Delhi,Pune,North India,Rail,2144,4.65,0.02,199.39,4,0,15986.35,2080.6,99.0
41,ORD00041,Apparel,Mumbai,Kolkata,East India,Road - Medium Truck,336,3.96,0.1,133.06,10,1,95143.08,11775.74,89.33
42,ORD00042,Groceries,Bangalore,Kolkata,West India,Air,1261,3.6,0.6,2723.76,11,1,57669.19,19748.7,76.38
43,ORD00043,Apparel,Ahmedabad,Ahmedabad,West India,Road - Heavy Truck,910,3.39,0.08,246.79,11,1,45839.37,10359.91,88.77
44,ORD00044,Pharmaceuticals,Hyderabad,Mumbai,South India,Road - Medium Truck,745,5.36,0.1,399.32,11,1,67590.82,21281.92,88.0
45,ORD00045,Pharmaceuticals,Mumbai,Ahmedabad,West India,Rail,865,2.63,0.02,45.5,8,1,18998.63,7336.05,89.77
46,ORD00046,Electronics,Mumbai,Pune,South India,Road - Medium Truck,1622,7.32,0.1,1187.3,11,1,51965.83,16982.68,84.06
47,ORD00047,Groceries,Bangalore,Ahmedabad,East India,Road - Medium Truck,2171,8.14,0.1,1767.19,2,0,49132.24,11436.92,91.16
48,ORD00048,Furniture,Ahmedabad,Ahmedabad,East India,Air,2117,6.32,0.6,8027.66,8,1,45540.37,5826.6,49.86
49,ORD00049,Furniture,Kolkata,Ahmedabad,North India,Road - Medium Truck,1185,8.48,0.1,1004.88,11,1,77752.3,18941.24,84.98
50,ORD00050,Furniture,Chennai,Pune,South India,Rail,1425,2.73,0.02,77.81,3,0,35372.41,8417.02,99.61
51,ORD00051,Furniture,Pune,Pune,North India,Road - Medium Truck,1719,1.11,0.1,190.81,1,0,36433.73,9480.88,99.05
52,ORD00052,Pharmaceuticals,Chennai,Ahmedabad,South India,Air,1490,5.03,0.6,4496.82,7,0,33368.2,9443.33,77.52
53,ORD00053,Furniture,Ahmedabad,Bangalore,North India,Rail,168,4.64,0.02,15.59,7,0,41941.43,8360.52,99.92
54,ORD00054,Furniture,Delhi,Kolkata,West India,Air,161,6.12,0.6,591.19,8,1,12975.01,3521.63,87.04
55,ORD00055,Groceries,Kolkata,Mumbai,West India,Rail,1388,2.51,0.02,69.68,5,0,37062.55,5044.51,99.65
56,ORD00056,Electronics,Delhi,Delhi,South India,Road - Heavy Truck,263,7.62,0.08,160.32,11,1,99991.24,29498.61,89.2
57,ORD00057,Pharmaceuticals,Chennai,Ahmedabad,East India,Road - Medium Truck,674,8.47,0.1,570.88,2,0,27661.77,7134.85,97.15
58,ORD00058,Electronics,Delhi,Kolkata,West India,Rail,519,2.09,0.02,21.69,5,0,78890.23,27680.24,99.89
59,ORD00059,Furniture,Mumbai,Kolkata,North India,Air,862,9.44,0.6,4882.37,11,1,12219.67,2356.14,65.59
60,ORD00060,Apparel,Delhi,Pune,West India,Road - Heavy Truck,1804,3.8,0.08,548.42,11,1,67844.53,25734.31,87.26
61,ORD00061,Furniture,Pune,Bangalore,East India,Road - Heavy Truck,1533,4.62,0.08,566.6,12,1,65380.59,9897.82,87.17
62,ORD00062,Apparel,Ahmedabad,Chennai,West India,Air,2476,4.92,0.6,7309.15,2,0,30497.58,4406.47,63.45
63,ORD00063,Apparel,Kolkata,Hyderabad,East India,Air,2074,3.7,0.6,4604.28,4,0,85840.52,29653.44,76.98
64,ORD00064,Groceries,Ahmedabad,Chennai,West India,Rail,2166,5.78,0.02,250.39,12,1,95065.94,35584.71,88.75
65,ORD00065,Furniture,Kolkata,Hyderabad,West India,Air,120,4.76,0.6,342.72,12,1,13840.07,4615.96,88.29
66,ORD00066,Apparel,Kolkata,Chennai,North India,Rail,2304,4.54,0.02,209.2,5,0,36425.17,6889.58,98.95
67,ORD00067,Furniture,Ahmedabad,Kolkata,East India,Road - Medium Truck,2244,3.5,0.1,785.4,4,0,95333.37,18394.66,96.07
68,ORD00068,Pharmaceuticals,Bangalore,Kolkata,North India,Road - Heavy Truck,1263,8.41,0.08,849.75,1,0,26610.9,9211.83,95.75
69,ORD00069,Electronics,Kolkata,Ahmedabad,West India,Road - Heavy Truck,567,5.76,0.08,261.27,2,0,65597.62,11424.64,98.69
70,ORD00070,Electronics,Pune,Ahmedabad,North India,Air,260,3.74,0.6,583.44,2,0,28985.45,4100.95,97.08
71,ORD00071,Electronics,Pune,Chennai,West India,Road - Heavy Truck,2355,1.94,0.08,365.5,4,0,95166.94,35634.85,98.17
72,ORD00072,Pharmaceuticals,Delhi,Mumbai,South India,Air,1267,9.13,0.6,6940.63,5,0,86715.83,8930.92,65.3
73,ORD00073,Furniture,Delhi,Pune,West India,Road - Medium Truck,382,3.01,0.1,114.98,2,0,19920.42,6929.44,99.43
74,ORD00074,Electronics,Chennai,Kolkata,South India,Air,998,3.27,0.6,1958.08,8,1,32369.96,10202.51,80.21
75,ORD00075,Electronics,Delhi,Bangalore,East India,Air,970,1.59,0.6,925.38,3,0,66525.3,8480.42,95.37
76,ORD00076,Pharmaceuticals,Ahmedabad,Ahmedabad,North India,Rail,1969,4.67,0.02,183.9,5,0,70424.41,13386.26,99.08
77,ORD00077,Pharmaceuticals,Delhi,Kolkata,North India,Road - Heavy Truck,1370,8.95,0.08,980.92,4,0,62352.8,24457.3,95.1
78,ORD00078,Groceries,Ahmedabad,Mumbai,West India,Road - Medium Truck,1861,4.97,0.1,924.92,10,1,92026.91,31800.2,85.38
79,ORD00079,Groceries,Ahmedabad,Kolkata,West India,Rail,1365,4.38,0.02,119.57,6,0,68662.68,9796.8,99.4
80,ORD00080,Pharmaceuticals,Delhi,Ahmedabad,West India,Road - Heavy Truck,1338,4.82,0.08,515.93,7,0,28977.89,10583.41,97.42
81,ORD00081,Electronics,Chennai,Kolkata,South India,Road - Heavy Truck,1531,2.28,0.08,279.25,8,1,64150.22,16066.56,88.6
82,ORD00082,Furniture,Bangalore,Kolkata,North India,Rail,2035,4.66,0.02,189.66,10,1,16535.48,1786.76,89.05
83,ORD00083,Groceries,Kolkata,Kolkata,West India,Air,514,1.39,0.6,428.68,3,0,48837.55,17813.99,97.86
84,ORD00084,Pharmaceuticals,Bangalore,Mumbai,East India,Air,1048,9.81,0.6,6168.53,4,0,48394.71,17257.91,69.16
85,ORD00085,Apparel,Ahmedabad,Bangalore,West India,Air,2129,3.73,0.6,4764.7,12,1,30381.4,12129.18,66.18
86,ORD00086,Furniture,Chennai,Pune,South India,Air,2310,3.78,0.6,5239.08,6,0,77472.9,22222.09,73.8
87,ORD00087,Furniture,Ahmedabad,Delhi,South India,Air,1987,0.91,0.6,1084.9,7,0,71996.65,11273.04,94.58
88,ORD00088,Furniture,Pune,Bangalore,North India,Rail,1853,8.76,0.02,324.65,1,0,14472.61,1836.1,98.38
89,ORD00089,Electronics,Hyderabad,Pune,East India,Air,1135,7.92,0.6,5393.52,11,1,37163.32,7142.37,63.03
90,ORD00090,Apparel,Chennai,Mumbai,West India,Air,197,8.79,0.6,1038.98,11,1,63658.65,20979.91,84.81
91,ORD00091,Electronics,Hyderabad,Delhi,East India,Road - Heavy Truck,461,7.72,0.08,284.71,1,0,47149.46,9043.25,98.58
92,ORD00092,Furniture,Bangalore,Bangalore,North India,Rail,646,4.06,0.02,52.46,11,1,28198.76,7793.7,89.74
93,ORD00093,Groceries,Kolkata,Ahmedabad,East India,Air,1036,6.39,0.6,3972.02,4,0,52278.39,11765.4,80.14
94,ORD00094,Electronics,Ahmedabad,Hyderabad,East India,Road - Heavy Truck,1955,9.04,0.08,1413.86,3,0,90614.9,17825.47,92.93
95,ORD00095,Groceries,Mumbai,Chennai,West India,Air,1921,7.06,0.6,8137.36,7,0,85303.87,29023.35,59.31
96,ORD00096,Apparel,Delhi,Delhi,West India,Rail,1259,5.96,0.02,150.07,7,0,7084.26,1069.64,99.25
97,ORD00097,Furniture,Kolkata,Bangalore,North India,Rail,992,7.87,0.02,156.14,11,1,62671.17,18444.36,89.22
98,ORD00098,Electronics,Kolkata,Hyderabad,West India,Road - Heavy Truck,1855,3.43,0.08,509.01,3,0,8169.63,2373.62,97.45
99,ORD00099,Apparel,Bangalore,Kolkata,West India,Road - Medium Truck,2259,2.41,0.1,544.42,9,1,88263.76,25617.92,87.28
100,ORD00100,Furniture,Chennai,Pune,East India,Rail,1437,7.59,0.02,218.14,2,0,81402.09,21123.89,98.91
101,ORD00101,Apparel,Pune,Hyderabad,North India,Road - Heavy Truck,107,8.01,0.08,68.57,6,0,30123.56,10932.54,99.66
102,ORD00102,Electronics,Ahmedabad,Kolkata,West India,Road - Medium Truck,2349,4.98,0.1,1169.8,11,1,36160.6,7845.96,84.15
103,ORD00103,Furniture,Bangalore,Pune,West India,Road - Heavy Truck,202,1.83,0.08,29.57,2,0,33914.64,8553.7,99.85
104,ORD00104,Groceries,Mumbai,Ahmedabad,West India,Rail,2262,6.87,0.02,310.8,3,0,44817.04,7946.93,98.45
105,ORD00105,Apparel,Mumbai,Hyderabad,East India,Rail,1567,0.81,0.02,25.39,4,0,25640.62,6835.56,99.87
106,ORD00106,Electronics,Chennai,Delhi,North India,Road - Heavy Truck,827,4.28,0.08,283.16,8,1,96979.65,11181.44,88.58
107,ORD00107,Furniture,Chennai,Chennai,East India,Rail,565,2.81,0.02,31.75,9,1,79762.92,26994.83,89.84
108,ORD00108,Furniture,Kolkata,Bangalore,North India,Road - Medium Truck,2491,7.99,0.1,1990.31,3,0,5269.38,750.77,90.05
109,ORD00109,Electronics,Bangalore,Kolkata,North India,Road - Heavy Truck,1517,1.75,0.08,212.38,6,0,80048.54,26305.59,98.94
110,ORD00110,Apparel,Mumbai,Ahmedabad,South India,Road - Medium Truck,2204,7.55,0.1,1664.02,8,1,15796.68,6017.47,81.68
111,ORD00111,Electronics,Ahmedabad,Pune,West India,Road - Heavy Truck,2185,7.41,0.08,1295.27,1,0,33654.88,6966.49,93.52
112,ORD00112,Furniture,Mumbai,Bangalore,East India,Road - Heavy Truck,1866,5.16,0.08,770.28,10,1,11981.62,4502.25,86.15
113,ORD00113,Groceries,Mumbai,Mumbai,South India,Rail,2496,4.12,0.02,205.67,10,1,55402.9,14620.02,88.97
114,ORD00114,Groceries,Mumbai,Hyderabad,West India,Air,985,4.79,0.6,2830.89,7,0,44312.29,6725.46,85.85
115,ORD00115,Electronics,Mumbai,Mumbai,North India,Rail,1583,6.82,0.02,215.92,8,1,95591.29,18540.28,88.92
116,ORD00116,Pharmaceuticals,Hyderabad,Mumbai,West India,Air,1576,1.42,0.6,1342.75,10,1,82118.08,19140.8,83.29
117,ORD00117,Pharmaceuticals,Kolkata,Hyderabad,North India,Rail,1782,8.8,0.02,313.63,5,0,87468.75,16066.42,98.43
118,ORD00118,Apparel,Mumbai,Kolkata,South India,Road - Medium Truck,2025,1.97,0.1,398.93,9,1,26303.26,9667.36,88.01
119,ORD00119,Apparel,Delhi,Bangalore,East India,Air,2330,8.53,0.6,11924.94,12,1,7494.11,908.85,30.38
120,ORD00120,Groceries,Mumbai,Bangalore,North India,Rail,1487,9.25,0.02,275.1,10,1,5580.05,775.86,88.62
121,ORD00121,Apparel,Kolkata,Hyderabad,North India,Road - Heavy Truck,931,7.59,0.08,565.3,3,0,40738.47,10751.14,97.17
122,ORD00122,Groceries,Ahmedabad,Ahmedabad,West India,Road - Heavy Truck,253,1.98,0.08,40.08,11,1,69027.03,21976.08,89.8
123,ORD00123,Pharmaceuticals,Ahmedabad,Kolkata,North India,Rail,2148,2.55,0.02,109.55,5,0,15812.66,4285.64,99.45
124,ORD00124,Furniture,Kolkata,Kolkata,East India,Road - Medium Truck,274,4.26,0.1,116.72,4,0,5730.27,1773.94,99.42
125,ORD00125,Furniture,Hyderabad,Mumbai,West India,Road - Heavy Truck,1813,0.57,0.08,82.67,12,1,21691.01,6202.28,89.59
126,ORD00126,Groceries,Pune,Pune,East India,Road - Heavy Truck,1933,4.64,0.08,717.53,10,1,92510.43,13077.92,86.41
127,ORD00127,Apparel,Mumbai,Pune,North India,Road - Heavy Truck,1380,4.35,0.08,480.24,8,1,21327.95,2467.98,87.6
128,ORD00128,Apparel,Chennai,Hyderabad,South India,Road - Medium Truck,1690,4.64,0.1,784.16,5,0,54776.44,15406.97,96.08
129,ORD00129,Apparel,Bangalore,Chennai,North India,Road - Heavy Truck,517,5.35,0.08,221.28,6,0,55407.46,18939.87,98.89
130,ORD00130,Electronics,Bangalore,Ahmedabad,West India,Road - Medium Truck,760,2.93,0.1,222.68,11,1,62227.9,10699.18,88.89
131,ORD00131,Apparel,Bangalore,Ahmedabad,North India,Air,2362,6.97,0.6,9877.88,6,0,66084.22,6875.43,50.61
132,ORD00132,Pharmaceuticals,Mumbai,Kolkata,West India,Air,1290,4.7,0.6,3637.8,6,0,80651.32,17950.89,81.81
133,ORD00133,Pharmaceuticals,Pune,Ahmedabad,North India,Air,1560,0.86,0.6,804.96,2,0,84011.18,31670.59,95.98
134,ORD00134,Pharmaceuticals,Bangalore,Delhi,West India,Air,2391,9.14,0.6,13112.24,8,1,66924.56,20314.41,24.44
135,ORD00135,Furniture,Delhi,Chennai,West India,Road - Heavy Truck,1456,8.2,0.08,955.14,11,1,98326.63,36843.11,85.22
136,ORD00136,Groceries,Hyderabad,Delhi,East India,Air,700,5.48,0.6,2301.6,7,0,39570.31,4931.21,88.49
137,ORD00137,Pharmaceuticals,Bangalore,Hyderabad,North India,Road - Heavy Truck,2335,3.63,0.08,678.08,12,1,69446.04,21858.55,86.61
138,ORD00138,Furniture,Mumbai,Kolkata,West India,Road - Medium Truck,1320,9.21,0.1,1215.72,7,0,96931.17,18461.12,93.92
139,ORD00139,Apparel,Delhi,Hyderabad,East India,Rail,2206,8.23,0.02,363.11,9,1,13878.03,2759.83,88.18
140,ORD00140,Furniture,Bangalore,Mumbai,East India,Road - Medium Truck,1449,9.54,0.1,1382.35,4,0,95028.49,24148.52,93.09
141,ORD00141,Apparel,Bangalore,Pune,South India,Road - Heavy Truck,2260,5.32,0.08,961.86,1,0,84336.38,11376.59,95.19
142,ORD00142,Furniture,Ahmedabad,Kolkata,West India,Road - Medium Truck,728,2.22,0.1,161.62,6,0,73512.38,28441.37,99.19
143,ORD00143,Apparel,Ahmedabad,Ahmedabad,East India,Road - Medium Truck,1317,5.57,0.1,733.57,4,0,96731.68,15930.64,96.33
144,ORD00144,Furniture,Kolkata,Delhi,West India,Air,1764,5.28,0.6,5588.35,10,1,96795.47,14996.78,62.06
145,ORD00145,Apparel,Mumbai,Bangalore,East India,Rail,470,5.77,0.02,54.24,2,0,72583.09,17799.35,99.73
146,ORD00146,Groceries,Hyderabad,Delhi,West India,Air,653,9.1,0.6,3565.38,4,0,83949.44,31269.99,82.17
147,ORD00147,Furniture,Delhi,Hyderabad,North India,Road - Heavy Truck,1581,4.27,0.08,540.07,6,0,27398.92,2784.89,97.3
148,ORD00148,Furniture,Ahmedabad,Ahmedabad,North India,Rail,613,8.02,0.02,98.33,8,1,8638.8,1077.96,89.51
149,ORD00149,Pharmaceuticals,Pune,Mumbai,East India,Road - Heavy Truck,933,0.68,0.08,50.76,12,1,84321.49,19845.8,89.75
150,ORD00150,Groceries,Mumbai,Mumbai,West India,Road - Medium Truck,245,3.36,0.1,82.32,10,1,27651.75,5760.26,89.59
151,ORD00151,Electronics,Hyderabad,Chennai,West India,Road - Heavy Truck,2405,6.5,0.08,1250.6,7,0,27984.12,9988.29,93.75
152,ORD00152,Pharmaceuticals,Delhi,Pune,West India,Road - Medium Truck,400,6.81,0.1,272.4,9,1,54731.03,15971.55,88.64
153,ORD00153,Apparel,Chennai,Mumbai,East India,Road - Heavy Truck,1579,6.54,0.08,826.13,2,0,29096.77,11496.93,95.87
154,ORD00154,Groceries,Ahmedabad,Bangalore,South India,Road - Medium Truck,2286,0.92,0.1,210.31,11,1,37161.99,7698.53,88.95
155,ORD00155,Electronics,Hyderabad,Kolkata,West India,Road - Heavy Truck,1924,7.3,0.08,1123.62,4,0,8513.46,2890.51,94.38
156,ORD00156,Apparel,Kolkata,Mumbai,East India,Air,832,2.91,0.6,1452.67,1,0,32180.54,4548.99,92.74
157,ORD00157,Groceries,Ahmedabad,Hyderabad,East India,Air,1851,8.95,0.6,9939.87,3,0,89990.56,25557.91,50.3
158,ORD00158,Pharmaceuticals,Kolkata,Hyderabad,North India,Road - Heavy Truck,373,7.41,0.08,221.11,3,0,45907.68,4658.28,98.89
159,ORD00159,Furniture,Ahmedabad,Hyderabad,West India,Road - Heavy Truck,1260,3.62,0.08,364.9,7,0,34117.11,7478.93,98.18
160,ORD00160,Electronics,Mumbai,Pune,East India,Road - Heavy Truck,1494,7.4,0.08,884.45,11,1,63410.89,17090.37,85.58
161,ORD00161,Electronics,Bangalore,Mumbai,South India,Road - Medium Truck,634,9.55,0.1,605.47,8,1,85623.58,16831.31,86.97
162,ORD00162,Apparel,Hyderabad,Ahmedabad,North India,Rail,2373,3.94,0.02,186.99,8,1,8076.61,2858.87,89.07
163,ORD00163,Electronics,Bangalore,Ahmedabad,West India,Road - Medium Truck,1680,5.53,0.1,929.04,2,0,34866.62,11031.56,95.35
164,ORD00164,Apparel,Ahmedabad,Chennai,North India,Road - Heavy Truck,1116,2.99,0.08,266.95,10,1,71883.59,24126.21,88.67
165,ORD00165,Apparel,Hyderabad,Mumbai,East India,Road - Medium Truck,1901,8.6,0.1,1634.86,2,0,21402.35,3980.6,91.83
166,ORD00166,Furniture,Bangalore,Chennai,West India,Rail,763,8.59,0.02,131.08,2,0,80401.16,19889.1,99.34
167,ORD00167,Furniture,Mumbai,Mumbai,East India,Road - Heavy Truck,2394,3.93,0.08,752.67,9,1,40046.56,6363.46,86.24
168,ORD00168,Electronics,Bangalore,Hyderabad,North India,Air,2010,10.0,0.6,12060.0,10,1,54941.09,9298.81,29.7
169,ORD00169,Pharmaceuticals,Bangalore,Bangalore,West India,Air,2169,4.93,0.6,6415.9,9,1,37728.9,5154.22,57.92
170,ORD00170,Furniture,Hyderabad,Kolkata,North India,Road - Heavy Truck,2172,8.4,0.08,1459.58,6,0,19536.47,6849.54,92.7
171,ORD00171,Pharmaceuticals,Mumbai,Bangalore,South India,Rail,2306,2.36,0.02,108.84,10,1,31072.85,6602.77,89.46
172,ORD00172,Electronics,Delhi,Kolkata,South India,Road - Medium Truck,1432,6.76,0.1,968.03,1,0,85040.35,19637.06,95.16
173,ORD00173,Apparel,Ahmedabad,Chennai,West India,Air,174,6.37,0.6,665.03,5,0,52313.62,11082.68,96.67
174,ORD00174,Furniture,Hyderabad,Bangalore,East India,Rail,295,4.81,0.02,28.38,8,1,20017.64,5511.13,89.86
175,ORD00175,Pharmaceuticals,Mumbai,Hyderabad,South India,Rail,1464,7.47,0.02,218.72,6,0,97660.54,35233.01,98.91
176,ORD00176,Groceries,Pune,Chennai,South India,Air,1891,1.66,0.6,1883.44,5,0,28552.29,10591.66,90.58
177,ORD00177,Groceries,Ahmedabad,Kolkata,West India,Rail,1330,9.37,0.02,249.24,9,1,23034.24,8112.6,88.75
178,ORD00178,Pharmaceuticals,Hyderabad,Delhi,North India,Road - Heavy Truck,1660,1.36,0.08,180.61,4,0,53017.22,5831.58,99.1
179,ORD00179,Groceries,Bangalore,Kolkata,East India,Rail,1977,5.2,0.02,205.61,2,0,32146.1,12779.58,98.97
180,ORD00180,Pharmaceuticals,Kolkata,Mumbai,West India,Air,1690,3.98,0.6,4035.72,6,0,9859.98,2282.14,79.82
181,ORD00181,Electronics,Bangalore,Mumbai,West India,Air,1195,7.76,0.6,5563.92,10,1,83404.58,17767.47,62.18
182,ORD00182,Furniture,Pune,Delhi,North India,Rail,1438,8.05,0.02,231.52,3,0,57994.02,16836.71,98.84
183,ORD00183,Pharmaceuticals,Bangalore,Hyderabad,East India,Road - Heavy Truck,1414,1.8,0.08,203.62,3,0,81376.76,19872.22,98.98
184,ORD00184,Pharmaceuticals,Ahmedabad,Kolkata,West India,Road - Medium Truck,1275,4.23,0.1,539.33,9,1,61403.84,15216.21,87.3
185,ORD00185,Electronics,Ahmedabad,Kolkata,South India,Road - Heavy Truck,498,4.0,0.08,159.36,12,1,98090.31,22059.47,89.2
186,ORD00186,Furniture,Chennai,Delhi,North India,Road - Heavy Truck,748,6.04,0.08,361.43,7,0,54802.07,10064.13,98.19
187,ORD00187,Groceries,Ahmedabad,Delhi,South India,Road - Medium Truck,1334,0.68,0.1,90.71,4,0,44784.13,12365.43,99.55
188,ORD00188,Groceries,Hyderabad,Hyderabad,East India,Road - Medium Truck,2009,5.83,0.1,1171.25,3,0,54920.33,16798.71,94.14
189,ORD00189,Apparel,Chennai,Ahmedabad,East India,Air,1059,2.33,0.6,1480.48,5,0,31505.61,9780.92,92.6
190,ORD00190,Groceries,Pune,Hyderabad,South India,Air,1170,3.81,0.6,2674.62,9,1,32339.99,7372.13,76.63
191,ORD00191,Groceries,Chennai,Chennai,East India,Rail,373,0.9,0.02,6.71,5,0,37904.53,10131.39,99.97
192,ORD00192,Furniture,Chennai,Delhi,North India,Rail,2453,1.8,0.02,88.31,9,1,27731.8,10670.37,89.56
193,ORD00193,Pharmaceuticals,Bangalore,Pune,West India,Air,1984,3.64,0.6,4333.06,1,0,14551.77,2455.9,78.33
194,ORD00194,Pharmaceuticals,Chennai,Delhi,South India,Air,1226,6.68,0.6,4913.81,2,0,35510.93,7323.44,75.43
195,ORD00195,Groceries,Bangalore,Kolkata,North India,Air,770,8.88,0.6,4102.56,7,0,93722.65,36467.3,79.49
196,ORD00196,Pharmaceuticals,Ahmedabad,Bangalore,West India,Road - Heavy Truck,489,3.33,0.08,130.27,8,1,93203.21,27913.18,89.35
197,ORD00197,Apparel,Bangalore,Delhi,East India,Rail,511,2.33,0.02,23.81,11,1,36414.99,6578.89,89.88
198,ORD00198,Groceries,Hyderabad,Mumbai,West India,Rail,841,5.89,0.02,99.07,7,0,21672.02,3102.48,99.5
199,ORD00199,Apparel,Pune,Chennai,West India,Road - Heavy Truck,625,2.26,0.08,113.0,1,0,50358.14,6005.33,99.44
